"Time","Vertical Speed","Horizontal Speed","Distance","Altitude","Angle","Weight","Acceleration","Fuel"
"0.0","24.8","932.0","181000.0","13748.0","58.3","286.0","0.0","121.0"
"10.0","24.51917452414879","919.5996893119041","171744.95040159856","13499.643943083993","58.3","284.40663680692364","1.2841883046200793","119.40663680692366"
"20.0","25.105629601757236","908.41726555947","162609.31610207265","13250.609084704007","58.3","283.0784315102418","1.4280616347930157","118.0784315102418"
"30.0","25.014511032817886","895.9548429624552","153593.36413118895","12999.95286803455","58.3","281.6171089355449","1.4717482295840971","116.61710893554486"
"40.0","25.012230684918926","883.4429475815624","144702.59634314096","12749.897227268513","58.3","280.1612096651843","1.4787762354121938","115.16120966518427"
"50.0","25.018684435546422","870.7509045956219","135937.7746681916","12499.716685693757","58.3","278.69002939310724","1.5064253906083485","113.69002939310724"
"60.0","25.0164712883869","857.8472222077504","127301.07785310401","12249.545913206295","58.3","277.2027764580506","1.529074219307619","112.20277645805064"
"70.0","25.01696059285899","844.7472223289029","118794.48859408255","11999.378380854394","58.3","275.70094194999115","1.552883087575631","110.70094194999113"
"80.0","25.0169432067731","831.4426086678515","110420.02201719575","11749.208689687406","58.3","274.1839828173656","1.5770782098751208","109.18398281736556"
"90.0","25.01695321426686","817.9310682171958","102179.73744239338","11499.03927075394","58.3","272.65198401676713","1.6015978493902083","107.65198401676712"
"100.0","25.016973919784146","804.2093555890968","94075.72139780317","11248.86960351391","58.3","271.10492045317926","1.6265172472152025","106.10492045317929"
"110.0","25.016981913569","790.2741628362327","86110.09393258998","10998.699818355293","58.3","269.54277909493885","1.651820416180947","104.54277909493885"
"120.0","25.016986413677866","776.1221840776885","78285.00795308479","10748.529969964246","58.3","267.9655550676107","1.6775177068263445","102.96555506761068"
"130.0","25.01698506120163","761.7500430693067","70602.64984932315","10498.360108499248","58.3","266.3732467062489","1.7036148149871169","101.37324670624892"
"140.0","25.016978010819358","747.1543151481691","63065.24003630776","10248.190291926065","58.3","264.7658577646377","1.7301178952912077","99.76585776463769"
"150.0","25.01696509088757","732.3315218454403","55675.033470092414","9998.020577949434","58.3","263.14339707474505","1.7570333086417882","98.14339707474508"
"160.0","25.01694612171865","717.2781305662874","48434.32018887823","9747.851026315893","58.3","261.5058787666879","1.784367456631943","96.5058787666879"
"170.0","25.01692094013192","701.9905537888079","41345.42585809038","9497.681698401691","58.3","259.8533224149629","1.8121268559964068","94.85332241496293"
"180.0","25.01688937580567","686.4651481707826","34410.712324697015","9247.512657268433","58.3","258.18575318568196","1.8403181219875155","93.18575318568196"
"190.0","25.016851258690473","670.6982136934429","27632.578180085427","8997.343967678","58.3","256.5032019882956","1.8689479730386518","91.50320198829557"
"200.0","25.016806417653857","654.6859927775785","21013.459331680006","8747.175696098766","58.3","254.8057056269393","1.8980232320887132","89.8057056269393"
"210.0","25.01675468083567","638.4246693886881","14555.829583457287","8497.007910714656","58.3","253.0933069527798","1.927550828167854","88.09330695277983"
"220.0","25.016695875796202","621.9103681278721","8262.20122548717","8246.84068143148","58.3","251.36605501690718","1.9575377980711808","86.3660550169072"
"230.0","25.016629829677015","605.139153308603","2135.1256326429607","7996.674079881901","58.3","249.62400522367597","1.9879912880264814","84.62400522367597"
"240.0","25.016556369377945","588.1070280191598","-3822.8061273776643","7746.508179428644","58.3","247.8672194843412","2.0189185553962727","82.8672194843412"
"250.0","25.016475321740685","570.8099331704898","-9608.962676576077","7496.343055165909","58.3","246.09576637082904","2.0503269704046327","81.09576637082904"
"260.0","25.016386513742344","553.2437465292725","-15220.671699573531","7246.178783918896","58.3","244.3097212694745","2.0822240178911335","79.30972126947448"
"270.0","25.01628977269844","535.404281735959","-20655.2193067802","6996.015444241346","58.3","242.50916653455067","2.114617299091995","77.50916653455066"
"280.0","25.016184926475642","517.2872873075504","-25909.849387660863","6745.853116410994","58.3","240.69419164140453","2.1475145334488825","75.69419164140453"
"290.0","25.01607180371438","498.88844562487907","-30981.762953943315","6495.6918824228405","58.3","238.8648933390062","2.1809235604458634","73.86489333900619"
"300.0","25.015950234061552","480.2033719041535","-35868.11747261329","6245.531825980138","58.3","237.0213758017095","2.214852341474863","72.0213758017095"
"310.0","25.01582004841339","461.2276131525194","-40566.02618853707","5995.3730324830085","58.3","235.16375078001278","2.2493089617301365","70.16375078001276"
"320.0","25.015681079168655","441.9566471073903","-45072.55743655069","5745.215589014559","58.3","233.29213775009944","2.2843016321321876","68.29213775009944"
"330.0","25.015533160492332","422.3858811592959","-49384.733942851955","5495.0595843244155","58.3","231.4066640619293","2.319838691281607","66.4066640619293"
"340.0","25.01537612858979","402.51065125798993","-53499.53211552916","5244.905108809564","58.3","229.50746508564123","2.355928607443248","64.50746508564124"
"350.0","25.015209821991625","382.3262208015594","-57413.88132405751","4994.7522544923895","58.3","227.59468435601963","2.3925799805613037","62.59468435601961"
"360.0","25.015034081849162","361.82777950826903","-61124.66316759201","4744.601114995799","58.3","225.66847371476632","2.429801544305692","60.66847371476632"
"370.0","25.014848752240717","341.0104422708741","-64628.710731882464","4494.45178551535","58.3","223.72899345031163","2.4676021681502767","58.728993450311634"
"380.0","25.014653680488575","319.8692479931272","-67922.80783463406","4244.304362788238","58.3","221.77641243488688","2.5059908594834153","56.77641243488689"
"390.0","25.014448717486715","298.3991584082037","-71003.68825913362","3994.15894505907","58.3","219.8109082585729","2.5449767657513482","54.81090825857292"
"400.0","25.01423371803927","276.59505687876333","-73868.0349759595","3744.015632042288","58.3","217.83266736002827","2.584569176634937","52.83266736002825"
